,date,region,min,max
0,1/22/20,Brazil_nan,22.2,28.1
1,1/23/20,Brazil_nan,22.2,27.2
2,1/24/20,Brazil_nan,22.7,27.7
3,1/25/20,Brazil_nan,21.7,28.7
4,1/26/20,Brazil_nan,21.5,28.6
5,1/27/20,Brazil_nan,22.6,26.7
6,1/28/20,Brazil_nan,22.0,25.7
7,1/29/20,Brazil_nan,21.6,29.5
8,1/30/20,Brazil_nan,21.5,31.2
9,1/31/20,Brazil_nan,22.0,33.2
10,2/1/20,Brazil_nan,21.1,31.7
11,2/2/20,Brazil_nan,22.2,33.2
12,2/3/20,Brazil_nan,22.0,30.6
13,2/4/20,Brazil_nan,21.1,29.7
14,2/5/20,Brazil_nan,21.1,28.5
15,2/6/20,Brazil_nan,21.1,29.5
16,2/7/20,Brazil_nan,21.7,28.0
17,2/8/20,Brazil_nan,21.2,28.0
18,2/9/20,Brazil_nan,21.1,25.0
19,2/10/20,Brazil_nan,20.7,28.7
20,2/11/20,Brazil_nan,21.7,33.0
21,2/12/20,Brazil_nan,20.7,30.5
22,2/13/20,Brazil_nan,20.0,31.5
23,2/14/20,Brazil_nan,22.0,32.7
24,2/15/20,Brazil_nan,20.6,31.6
25,2/16/20,Brazil_nan,20.6,31.7
26,2/17/20,Brazil_nan,20.0,32.5
27,2/18/20,Brazil_nan,22.2,31.2
28,2/19/20,Brazil_nan,22.0,31.0
29,2/20/20,Brazil_nan,21.1,28.6
30,2/21/20,Brazil_nan,23.0,29.6
31,2/22/20,Brazil_nan,22.0,30.1
32,2/23/20,Brazil_nan,21.1,30.0
33,2/24/20,Brazil_nan,21.1,30.5
34,2/25/20,Brazil_nan,21.3,30.6
35,2/26/20,Brazil_nan,21.7,32.5
36,2/27/20,Brazil_nan,21.3,31.1
37,2/28/20,Brazil_nan,21.6,31.1
38,2/29/20,Brazil_nan,21.7,26.0
39,3/1/20,Brazil_nan,20.6,29.0
40,3/2/20,Brazil_nan,21.0,30.0
41,3/3/20,Brazil_nan,20.9,31.6
42,3/4/20,Brazil_nan,23.0,29.7
43,3/5/20,Brazil_nan,19.4,29.0
44,3/6/20,Brazil_nan,18.9,29.5
45,3/7/20,Brazil_nan,19.4,30.0
