,date,region,min,max
0,2020-06-14,Brazil_nan,18.4,32.5
1,2020-06-15,Brazil_nan,17.4,31.7
2,2020-06-16,Brazil_nan,17.1,31.3
3,2020-06-17,Brazil_nan,18.2,31.1
4,2020-06-18,Brazil_nan,16.6,30.6
5,2020-06-19,Brazil_nan,17.5,31.5
6,2020-06-20,Brazil_nan,17.1,32.6
7,2020-06-21,Brazil_nan,17.6,32.5
8,2020-06-22,Brazil_nan,17.1,31.9
9,2020-06-23,Brazil_nan,17.2,31.8
10,2020-06-24,Brazil_nan,18.5,32.6
11,2020-06-25,Brazil_nan,19.3,34.2
12,2020-06-26,Brazil_nan,16.9,33.5
13,2020-06-27,Brazil_nan,18.5,32.8
14,2020-06-28,Brazil_nan,19.3,33.5
15,2020-06-29,Brazil_nan,23.4,33.9
0,2020-06-14,Germany_nan,15.7,20.0
1,2020-06-15,Germany_nan,14.0,18.1
2,2020-06-16,Germany_nan,13.5,15.9
3,2020-06-17,Germany_nan,11.9,21.8
4,2020-06-18,Germany_nan,13.2,21.6
5,2020-06-19,Germany_nan,13.5,17.1
6,2020-06-20,Germany_nan,12.2,21.9
7,2020-06-21,Germany_nan,14.9,23.9
8,2020-06-22,Germany_nan,15.2,22.1
9,2020-06-23,Germany_nan,13.5,20.1
10,2020-06-24,Germany_nan,12.8,22.2
11,2020-06-25,Germany_nan,12.9,23.3
12,2020-06-26,Germany_nan,15.1,25.5
13,2020-06-27,Germany_nan,11.2,19.4
14,2020-06-28,Germany_nan,10.7,21.2
15,2020-06-29,Germany_nan,10.8,22.6
0,2020-06-14,Iran_nan,20.8,37.5
1,2020-06-15,Iran_nan,20.9,36.1
2,2020-06-16,Iran_nan,23.4,36.6
3,2020-06-17,Iran_nan,24.4,38.4
4,2020-06-18,Iran_nan,22.4,39.0
5,2020-06-19,Iran_nan,21.6,38.4
6,2020-06-20,Iran_nan,23.1,39.9
7,2020-06-21,Iran_nan,24.5,39.4
8,2020-06-22,Iran_nan,20.6,40.4
9,2020-06-23,Iran_nan,19.4,37.9
10,2020-06-24,Iran_nan,25.3,39.3
11,2020-06-25,Iran_nan,23.2,41.5
12,2020-06-26,Iran_nan,24.2,41.4
13,2020-06-27,Iran_nan,23.6,42.1
14,2020-06-28,Iran_nan,25.4,42.5
15,2020-06-29,Iran_nan,25.5,41.6
0,2020-06-14,Italy_nan,15.9,21.1
1,2020-06-15,Italy_nan,13.3,24.3
2,2020-06-16,Italy_nan,15.0,25.0
3,2020-06-17,Italy_nan,12.8,23.1
4,2020-06-18,Italy_nan,11.3,23.7
5,2020-06-19,Italy_nan,11.3,24.4
6,2020-06-20,Italy_nan,12.2,25.8
7,2020-06-21,Italy_nan,13.0,24.6
8,2020-06-22,Italy_nan,12.9,27.8
9,2020-06-23,Italy_nan,14.9,29.1
10,2020-06-24,Italy_nan,17.1,29.8
11,2020-06-25,Italy_nan,17.9,30.4
12,2020-06-26,Italy_nan,16.6,29.8
13,2020-06-27,Italy_nan,16.6,29.8
14,2020-06-28,Italy_nan,17.6,29.4
15,2020-06-29,Italy_nan,19.4,30.6
0,2020-06-14,Turkey_nan,14.5,20.7
1,2020-06-15,Turkey_nan,11.3,24.4
2,2020-06-16,Turkey_nan,13.8,25.4
3,2020-06-17,Turkey_nan,12.8,26.9
4,2020-06-18,Turkey_nan,12.4,28.1
5,2020-06-19,Turkey_nan,12.3,27.4
6,2020-06-20,Turkey_nan,11.4,23.1
7,2020-06-21,Turkey_nan,12.7,23.0
8,2020-06-22,Turkey_nan,11.4,25.1
9,2020-06-23,Turkey_nan,15.2,29.2
10,2020-06-24,Turkey_nan,12.8,24.6
11,2020-06-25,Turkey_nan,12.0,23.1
12,2020-06-26,Turkey_nan,12.1,25.1
13,2020-06-27,Turkey_nan,12.2,25.7
14,2020-06-28,Turkey_nan,12.9,24.9
15,2020-06-29,Turkey_nan,12.2,25.5
0,2020-06-14,Ukraine_nan,19.2,26.1
1,2020-06-15,Ukraine_nan,15.6,28.5
2,2020-06-16,Ukraine_nan,17.6,26.2
3,2020-06-17,Ukraine_nan,15.4,25.9
4,2020-06-18,Ukraine_nan,17.6,27.4
5,2020-06-19,Ukraine_nan,16.6,27.9
6,2020-06-20,Ukraine_nan,18.3,25.9
7,2020-06-21,Ukraine_nan,17.9,28.7
8,2020-06-22,Ukraine_nan,18.4,28.3
9,2020-06-23,Ukraine_nan,15.8,25.2
10,2020-06-24,Ukraine_nan,15.3,25.2
11,2020-06-25,Ukraine_nan,15.3,26.7
12,2020-06-26,Ukraine_nan,16.1,25.8
13,2020-06-27,Ukraine_nan,16.1,26.1
14,2020-06-28,Ukraine_nan,16.9,27.2
15,2020-06-29,Ukraine_nan,18.3,28.9
